时间,影长
9,7.739285385
9.01,7.703179878
9.02,7.667426661
9.03,7.63202085
9.04,7.596957649
9.05,7.56223236
9.06,7.527840368
9.07,7.49377715
9.08,7.460038264
9.09,7.426619354
9.1,7.393516144
9.11,7.360724438
9.12,7.328240116
9.13,7.296059135
9.14,7.264177526
9.15,7.232591393
9.16,7.201296908
9.17,7.170290317
9.18,7.139567928
9.19,7.10912612
9.2,7.078961334
9.21,7.049070075
9.22,7.019448911
9.23,6.990094468
9.24,6.961003434
9.25,6.932172553
9.26,6.903598628
9.27,6.875278516
9.28,6.847209127
9.29,6.819387428
9.3,6.791810435
9.31,6.764475216
9.32,6.737378889
9.33,6.710518621
9.34,6.683891628
9.35,6.65749517
9.36,6.631326555
9.37,6.605383137
9.38,6.579662313
9.39,6.554161522
9.4,6.528878247
9.41,6.503810012
9.42,6.478954383
9.43,6.454308963
9.44,6.429871397
9.45,6.405639366
9.46,6.38161059
9.47,6.357782826
9.48,6.334153865
9.49,6.310721537
9.5,6.287483704
9.51,6.264438263
9.52,6.241583143
9.53,6.218916308
9.54,6.196435753
9.55,6.174139504
9.56,6.15202562
9.57,6.130092187
9.58,6.108337325
9.59,6.086759179
9.6,6.065355925
9.61,6.044125768
9.62,6.023066938
9.63,6.002177695
9.64,5.981456324
9.65,5.960901136
9.66,5.940510468
9.67,5.920282682
9.68,5.900216166
9.69,5.880309331
9.7,5.860560612
9.71,5.840968469
9.72,5.821531382
9.73,5.802247857
9.74,5.783116419
9.75,5.764135618
9.76,5.745304024
9.77,5.726620227
9.78,5.70808284
9.79,5.689690494
9.8,5.671441842
9.81,5.653335555
9.82,5.635370326
9.83,5.617544863
9.84,5.599857897
9.85,5.582308173
9.86,5.564894459
9.87,5.547615536
9.88,5.530470205
9.89,5.513457285
9.9,5.496575609
9.91,5.479824029
9.92,5.463201412
9.93,5.446706643
9.94,5.43033862
9.95,5.414096258
9.96,5.397978488
9.97,5.381984255
9.98,5.36611252
9.99,5.350362256
10,5.334732453
10.01,5.319222114
10.02,5.303830256
10.03,5.288555909
10.04,5.273398118
10.05,5.258355941
10.06,5.243428446
10.07,5.228614718
10.08,5.213913852
10.09,5.199324956
10.1,5.184847152
10.11,5.17047957
10.12,5.156221357
10.13,5.142071666
10.14,5.128029667
